PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
HRL LABORATORIES LLC,3011 MALIBU CANYON RD,MALIBU,CA,902650000,LOS ANGELES,Corrective Action,Corrective Action,73,NONE SPECIFIED,NO,SMBRP,WM,Luis Davis,Jose Diaz,Cleanup Chatsworth,80001365,300389,42,24,32,,Certified O&M - Land Use Restrictions Only,6/28/2021 0:00,"ABOVE GROUND STORAGE TANKS, HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, RESEARCH - AEROSPACE, ABOVE GROUND STORAGE TANKS, HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, LABORATORIES- CHEMICAL, RESEARCH - OTHER","30001, 30003, 30022, 30027, 30028, 30136, 30196, 30272, 30014, 30019, 30022, 30024, 30027, 30152, 30357, 30462","30014,30019,30022,30024,30462,30357,30152,30027,, ,30001,30003,30022,30027,30028,30136,30196,30272","SOIL, SV, SOIL, SV",YES,NONE SPECIFIED,,34.04313,-118.69566
Proposed Romero Canyon High School,Tract 47807,Castaic,CA,91384,LOS ANGELES,School Investigation,School,197.8,"3247-026-034, 3247-068-001, 3247-068-002, 3247-068-003, 3247-068-004",NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,60001281,304630,40,23,27,,No Further Action,4/24/2012 0:00,OIL FIELD,"30024, 30025, 3002501, 3002502","30024-NO,30025-NO,3002501-NO,3002502-NO",SOIL,NO,NONE SPECIFIED,School District,34.4934,-118.6571
SADDLE PEAK NIKE,,Santa Monica,CA,,LOS ANGELES,Military Evaluation,FUDS,145,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000141,,42,24,32,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.07833333,-118.655
HANSLEY CANYON SCHOOL SITE,Sloan Canyon/Hasley Canyon,Santa Clarita,CA,91384,LOS ANGELES,School Investigation,School,70,NONE SPECIFIED,NO,DTSC,DTSC,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650028,304380,40,23,27,,No Action Required,8/1/2002 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.4604,-118.6538
"Rantec Microwave & Electronics, Inc.",24003 Ventura Boulevard,Calabasas,CA,91302,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002145,,42,24,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1546928,-118.6503259
Centex-Sterling Property,Dayton Canyon Creek - Roscoe Blvd. & Valley Circle Blvd.,West Hills,CA,91304,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,106,"2017-006-014, 2017-006-015, 2017-006-201, 2017-010-003, 2017-011-005, 2017-011-006, 2017-012-008, 2017-012-010, 2017-026-004, 2017-026-005, 2017-026-009, 2017-035-001, 2017-035-002, 2017-035-003, 2017-035-004, 2017-035-005, 2017-035-006, 2017-035-007, 2017-035-008, 2017006014, 2017006015, 2017010003, 2017011005, 2017011006, 2017012008, 2017012010, 2017026004, 2017026005, 2017026009, 2017035001, 2017035002, 2017035003, 2017035004, 2017035005, 2017035006, 2017035007, 2017035008",NO,SMBRP,SMBRP,,Rita Kamat,Cleanup Chatsworth,70000042,301270,46,27,32,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,10/8/2008 0:00,"AEROSPACE ROCKET TESTING/LAUNCH, AEROSPACE ROCKET TESTING/LAUNCH","30017, 30017","30017,, ,30017","SED, SOIL, SED, SOIL",NO,NONE SPECIFIED,Responsible Party,34.21996434,-118.6473227
SLOAN CANYON LLC ELEMENTARY SITE NO. 5,Sloan Canyon Road/Oakhorn Avenue,Castaic,CA,91384,LOS ANGELES,School Investigation,School,30,NONE SPECIFIED,NO,DTSC,DTSC,,Charles Ridenour,Southern California Schools & Brownfields Outreach,19000007,304305,40,23,27,,No Action Required,7/3/2001 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.48891,-118.64166
AMERICAN ENERGY OPERATIONS SITE,28801 HASLEY CANYON ROAD,CASTAIC,CA,91384,LOS ANGELES,Evaluation,Evaluation,0.1,"2866001015, 2866001016, 2866001017, 2866001027, 2866001028, 2866001029, 2866001069, 2866001071, 2866001074, 2866052001, 3247032001",NO,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,Referred - Not Assigned,Cleanup Cypress,19000025,,40,23,27,,Refer: 1248 Local Agency,4/14/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.4653869,-118.6342815
ITT Aerospace Controls,28150 Industry Drive,Valencia,CA,91384,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003567,,40,23,27,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.449582,-118.62682
ENADIA WAY ES RE-OPENING 5460038,22944 Enadia Way,Canoga Park,CA,91307,LOS ANGELES,School Investigation,School,6.81,"2026-004-900, 2026004900",NO,SMBRP,SMBRP,Stephanie Lewis,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820127,304505,46,27,32,,No Action Required,6/7/2006 0:00,* EDUCATIONAL SERVICES,30013,30013-NO,SOIL,NO,NONE SPECIFIED,School District,34.1994,-118.6266
SCHOOL ON 18 ACRE SITE,Ridge Route Road,Castaic,CA,91384,LOS ANGELES,School Investigation,School,18,NONE SPECIFIED,NO,DTSC,DTSC,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19000001,304004,40,23,27,,No Action Required,1/13/2000 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.509998,-118.626099
CASTAIC HIGH SCHOOL,Ridge Route Road,Castaic,CA,91384,LOS ANGELES,School Investigation,School,140,"3244-011-902, 3244-012-058, 3244-014-021, 3244-014-022, 3244-015-018, 3244-015-904",NO,SMBRP,SMBRP,Stephanie Lewis,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650031,304441,40,23,27,,No Further Action,11/23/2005 0:00,* UNKNOWN,"30015, 30330","30330-NO,30015-NO",SOIL,NO,NONE SPECIFIED,School District,34.52,-118.624722
Woodland Hills Strip Mall,22800 Victory Boulevard,Woodland Hills,CA,91367,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.43,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60000772,301372,46,27,32,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,7/11/2012 0:00,"DRY CLEANING, FUEL - VEHICLE STORAGE/ REFUELING","30003, 30022, 30024, 30025, 30027","3,000,330,022,300,240,000,000,000","AQUI, OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.18610386,-118.6237407
RAYTHEON SYSTEMS CO,8433 Fallbrook Avenue,Los Angeles,CA,91304,LOS ANGELES,Corrective Action,Corrective Action,86,2005002011,NO,SMBRP,WM,Sara Vela,Jose Diaz,Cleanup Chatsworth,80001366,301758,46,27,32,,Active,6/15/2009 0:00,"HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, RESEARCH - AEROSPACE, UNDERGROUND STORAGE TANKS, WASTE - INDUSTRIAL WASTE LINE","30001, 30003, 30005, 30020, 30022, 30024, 30026, 30027, 30028, 30080, 30108, 30153, 30192, 30193, 30194, 30565, 30586","30001-NO,30003,30565,30020-NO,30022,30024,30026,30108,30153,30192,30193,30586-NO,30027,30194,30080,30028,30005","OTH, SOIL, SV",NO,NONE SPECIFIED,,34.223541,-118.623621
HUGHES AIRCRAFT COMPANY,8433 FALLBROOK AVENUE,CANOGA PARK,CA,91304,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19360344,,46,27,32,,Refer: RCRA,5/1/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.22444444,-118.6236111
HUGHES MIDDLE SCHOOL,5607 Capistrano Avenue,Woodland Hills,CA,91367,LOS ANGELES,School Investigation,School,19.72,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820110,304419,46,27,32,,Inactive - Withdrawn,2/10/2000 0:00,* EDUCATIONAL SERVICES,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.17295019,-118.616923
HUGHES MIDDLE SCHOOL COMMUNITY GARDEN,5607 Capistrano Avenue,Woodland Hills,CA,91367,LOS ANGELES,School Investigation,School,0.46,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19010037,304423,46,27,32,,Inactive - Action Required,10/20/2004 0:00,AGRICULTURAL - ROW CROPS,30013,30013-NO,SOIL,NO,NONE SPECIFIED,School District,34.17351375,-118.6168744
Chatsworth Park South,22360 Devonshire Street,Chatsworth,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,81,NONE SPECIFIED,NO,SMBRP,SMBRP,Jose Diaz,Jose Diaz,Cleanup Chatsworth,60000893,301384,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Active,1/31/2023 0:00,FIRING RANGE - SMALL ARMS ETC...,"31001, 30001, 30009, 30013, 30472","30001-NO,30009-NO,30013,30472,31001-NO","SOIL, SURFW",YES,NONE SPECIFIED,Responsible Party,34.25814,-118.61486
NEW MIDDLE SCHOOL,22450 Mulholland Highway,Calabasas,CA,91364,LOS ANGELES,School Investigation,School,31,NONE SPECIFIED,NO,DTSC,DTSC,,Charles Ridenour,Southern California Schools & Brownfields Outreach,19000003,300821,42,24,32,,No Action Required,1/12/2000 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.142369,-118.613444
Chime Charter Middle School,22280 Devonshire Street,Chatsworth,CA,91311,LOS ANGELES,School Investigation,School,2.7,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,70000135,304518,40,27,32,,No Further Action,4/27/2007 0:00,NONE,"30004, 30013, 30015",NONE SPECIFIED,"IA, SOIL, SV",NO,NONE SPECIFIED,School District,34.25668927,-118.6120417
EXCLUSIVE AUTO,22217 SHERMAN WAY,CANOGA PARK,CA,91303,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19750103,,46,20,32,,Refer: 1248 Local Agency,8/16/2001 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.20128031,-118.6109952
PACIFIC PIPELINE SYSTEM,VARIOUS,VARIOUS,CA,90000,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,788,NONE SPECIFIED,NO,DTSC,DTSC,Joseph Cully,Douglas Bautista,Cleanup Cypress,19460001,300625,40,23,27,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,9/1/1999 0:00,"OIL FIELD, RAILROAD RIGHT OF WAY","30003, 30013, 30024, 30272, 30550, 30593","305,503,002,430,272,000,000,000,000,000",SOIL,NO,NONE SPECIFIED,Responsible Party,34.5347,-118.6108
WEST VALLEY HOSPITAL,22141 ROSCOE BOULEVARD,CANOGA PARK,CA,91304,LOS ANGELES,Calmortgage,Calmortgage,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Juan Peng,Cleanup Sacramento,19800031,300584,46,20,32,,No Action Required,12/15/1995 0:00,NONE,"NONE SPECIFIED,31000",31000,NMA,NO,NONE SPECIFIED,CalMortgage,34.21944444,-118.6086111
NEWHALL RANCH űMISSION VILLAGE LOT 157 PROPOSED SCHOOL SITE,Intersection of Marquee Drive and Middleton Street,Valencia,CA,91355,LOS ANGELES,School Investigation,School,10,NONE SPECIFIED,NO,SMBRP,SMBRP,Joe Hwong,Shahir Haddad,Southern California Schools & Brownfields Outreach,60003128,304683,40,23,27,,No Further Action,12/19/2022 0:00,OIL FIELD,"30003, 30022, 30027","300,033,002,230,027",SV,NO,NONE SPECIFIED,School District,34.4217821,-118.6084138
LA DEF AREA  NIKE 88,,Chatsworth,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000279,,40,23,27,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.3125,-118.6083333
GOLDEN CLEANERS,8225 TOPANGA CANYON BLVD.,CANOGA PARK,CA,91304,LOS ANGELES,Evaluation,Evaluation,0,2012-031-017,NO,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,Referred - Not Assigned,Cleanup Cypress,19720033,,46,20,32,,Refer: 1248 Local Agency,8/1/2001 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.2192323,-118.6064979
"Circuit Manufacturing, Inc.",9535 Owensmouth Avenue #A,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002329,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.243688,-118.603016
PARK METAL,21608 NORDHOFF ST,CHATSWORTH,CA,91311,LOS ANGELES,State Response,State Response or NPL,0.53,"2779-018-023, 2779018023",NO,NONE SPECIFIED,NONE SPECIFIED,,Sayareh Amirebrahimi,Cleanup Chatsworth,19340767,,46,20,32,,Certified,9/1/1984 0:00,MANUFACTURING - METAL,30018,30018,"CSS, SOIL",NO,NONE SPECIFIED,Responsible Party,34.23476341,-118.6008217
"Racaar Circuit Ind, Inc.",9225 Alabama Avenue #F,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002968,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2380801,-118.6004303
CHEF AMERICA,9601 CANOGA AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,Historical,* Historical,0,2746015013,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19360300,,40,27,32,,No Further Action,2/25/1994 0:00,NONE,"NONE SPECIFIED,31000",31000,NMA,NO,NONE SPECIFIED,,34.24442734,-118.6003625
CANOGA AVENUE FAC,,Canoga Park,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000069,,46,27,32,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.19027778,-118.6
PRATT & WHITNEY ROCKETDYNE INC,6633 CANOGA AVE,CANOGA PARK,CA,913032703,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,RWQCB 4 - Los Angeles,RWQCB 4 - Los Angeles,,* Unknown,Cleanup Chatsworth,80001667,,46,27,32,,Refer: RWQCB,1/1/2008 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.190592,-118.599513
Metal Chem,21514 Nordhoff Street,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003569,301120,46,20,32,,No Further Action,1/12/2001 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2354322,-118.5993086
"EXXON COMPANY, U.S.A.",21501 VENTURA BLVD.,WOODLAND HILLS,CA,91367,LOS ANGELES,Historical,* Historical,,2168027031,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19750083,,46,27,32,,Refer: RWQCB,11/21/1995 0:00,NONE SPECIFIED,"10097, 10196, 10198, 10199",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.16881252,-118.5988832
"Acuson Corp., Canoga Park Facility",8357 Canoga Avenue,Canoga Park,CA,91304,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002852,,46,20,32,,No Further Action,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.22159,-118.598207
"Casco Circuits, Inc.",10039 Canoga Avenue #D,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003448,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2527722,-118.5978076
CANOGA PARK PRIMARY CENTER,7505 Canoga Avenue,Canoga Park,CA,91303-1317,LOS ANGELES,School Investigation,School,5.3,NONE SPECIFIED,NO,DTSC,DTSC,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19750092,304250,46,20,32,,No Further Action,1/9/2003 0:00,"ELECTRIC GENERATION/SUBSTATION, VEHICLE MAINTENANCE","NONE SPECIFIED,31000",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.20714121,-118.5977132
"Boeing North American, Inc.",6633 Canoga Avenue,Canoga Park,CA,91309,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002566,,46,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1905102,-118.5974939
MTA Orange Line Extension,Railroad Right-of-Way on Canoga Avenue,Canoga Park,CA,91304,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,48,NONE SPECIFIED,NO,SMBRP,SMBRP,Jessy Fierro,Juli Propes,Cleanup Chatsworth,60001160,301420,46,20,32,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,3/3/2015 0:00,RAILROAD RIGHT OF WAY,"30001, 30013","3,000,130,013",SOIL,NO,NONE SPECIFIED,Responsible Party,34.223386,-118.597361
ROCKWELL INTERNATIONAL; ROCKETDYNE DIV.,6633 CANOGA AVENUE,CANOGA PARK,CA,91304,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19370329,,46,27,32,,Refer: RCRA,5/5/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.18888889,-118.5972222
TRILLIUM CLEANERS(FORMER),6326 CANOGA AVE.,WOODLAND HILLS,CA,91367,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19720054,,46,27,32,,Refer: 1248 Local Agency,4/25/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.1857832,-118.5970687
THE PLAZA AT WARNER CENTER,6200-6250 CANOGA AVENUE,WOODLAND HILLS,CA,93041,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19000030,,46,27,32,,Refer: 1248 Local Agency,3/18/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.1835616,-118.5969085
LAWRENCE MIDDLE SCHOOL,10100 Variel Avenue,Chatsworth,CA,91311,LOS ANGELES,School Investigation,School,0,2747022902,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19010008,304183,40,27,32,,Inactive - Action Required,6/8/2000 0:00,AGRICULTURAL - ROW CROPS,NONE SPECIFIED,31001-NO,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.25395138,-118.5927254
